ds,y
2014-01-31,6242.525000000001
2014-02-28,1839.658
2014-03-31,14573.956
2014-04-30,7944.8369999999995
2014-05-31,6912.787
2014-06-30,13206.1256
2014-07-31,10821.051
2014-08-31,7320.3465
2014-09-30,23816.4808
2014-10-31,12304.247
2014-11-30,21564.8727
2014-12-31,30645.966500000002
2015-01-31,11739.9416
2015-02-28,3134.374
2015-03-31,12499.783
2015-04-30,10475.6985
2015-05-31,9374.950499999999
2015-06-30,7714.179
2015-07-31,13674.42
2015-08-31,9638.5922
2015-09-30,26273.023
2015-10-31,12026.6235
2015-11-30,30880.8325
2015-12-31,23085.8192
2016-01-31,7622.743
2016-02-29,3925.551
2016-03-31,12801.092
2016-04-30,13212.09
2016-05-31,15119.835000000001
2016-06-30,13070.572
2016-07-31,13068.519
2016-08-31,12483.232300000001
2016-09-30,27262.8809
2016-10-31,11872.577000000001
2016-11-30,31783.628800000002
2016-12-31,36678.715
2017-01-31,5964.032
2017-02-28,6866.3374
2017-03-31,10893.4448
2017-04-30,9065.9581
2017-05-31,16957.5582
2017-06-30,19008.5867
2017-07-31,11813.022
2017-08-31,15441.874
2017-09-30,29028.206000000002
2017-10-31,21884.0682
2017-11-30,37056.715
2017-12-31,31407.4668
