ds,yhat,yhat_lower,yhat_upper
2014-01-31,5136.853294630307,-2367.4822903482313,12601.373092166346
2014-02-28,1995.2611269514928,-5256.659440145514,9488.492991435112
2014-03-31,10336.167753943442,2855.01942303169,17790.66237388387
2014-04-30,8735.811002639137,1144.5043659070025,16008.08716085436
2014-05-31,5816.499698621441,-1971.2466549652606,13052.696639404398
2014-06-30,8537.707327374797,1188.2291394931576,16199.6767248082
2014-07-31,5895.809107631481,-1783.5260156642173,13343.137128466597
2014-08-31,11504.562531115036,3973.592009952064,19044.373677638603
2014-09-30,21630.959994627785,13996.152030715255,29471.95135056982
2014-10-31,9313.60378231595,2164.991079556139,16419.49126433155
2014-11-30,22692.434751084125,15030.8508732248,29964.447070705184
2014-12-31,19655.0502012136,12399.412776625159,26922.499508853005
2015-01-31,5801.3787072813675,-1554.1320620221247,12950.76023484708
2015-02-28,6973.653958806775,-587.401307030109,14677.899251868499
2015-03-31,14009.732222738854,6267.039961480225,21413.78690401078
2015-04-30,12616.310338958745,5529.693850455436,20609.3200268178
2015-05-31,7098.532585168086,-203.28637660407875,14109.795210649574
2015-06-30,11147.901637962617,3874.1474372551847,18251.248491427694
2015-07-31,7478.648685813447,169.54526378839824,15133.375736584358
2015-08-31,14775.36912828231,7110.5243883310995,21867.63861496473
2015-09-30,25205.29239501981,17838.724065368373,32180.53727131102
2015-10-31,11646.43112307389,4363.3791526174955,19072.596040676603
2015-11-30,29164.59584546007,21734.8419276852,36468.00142328777
2015-12-31,18722.420013641004,10774.446841170406,25887.629513915832
2016-01-31,6529.896841891284,-579.0147991485088,13960.61841889325
2016-02-29,3434.130449823071,-3462.281503808766,10790.346626020035
2016-03-31,14196.473558335056,6992.740212931091,21895.329300805482
2016-04-30,12070.950100767503,4483.462532808485,19165.99436240009
2016-05-31,14387.788025001566,7067.88547866938,21855.052170582345
2016-06-30,14554.832070284589,7239.117915859762,22223.302939490106
2016-07-31,14036.714000574128,7121.278550019552,21645.69924167975
2016-08-31,16314.078284539208,8819.333589137137,24120.657578687464
2016-09-30,25723.427265613864,18030.206570279377,33138.0046610298
2016-10-31,15962.71976690518,8360.388170177654,23634.471862637867
2016-11-30,20789.859065023276,12881.23186587008,28148.216830924644
2016-12-31,32519.960848141556,24811.812121085433,39134.489081596395
2017-01-31,15772.12134029093,8184.044254468816,22851.231584464007
2017-02-28,8309.455979410777,1075.932233794978,16013.703166429515
2017-03-31,17892.867574631735,10113.39385357895,25133.47626857362
2017-04-30,16049.05005910259,8628.183219528779,23230.406452251395
2017-05-31,15742.469686978468,9100.076019071174,23211.99093543051
2017-06-30,17169.70564561924,9497.669042257883,24819.465711637342
2017-07-31,15578.595151876652,7778.999146815598,23096.503473793167
2017-08-31,19513.859865595172,12087.380003912327,27296.70658894656
2017-09-30,29300.096097091817,21787.922045172796,36713.935251341274
2017-10-31,18249.165460372787,10595.333007756783,25929.814307049903
2017-11-30,27397.11764855968,19827.226742003742,34196.11089708205
2017-12-31,31753.248267680763,24121.220137201253,38857.741982817344
2018-01-31,16381.279177019718,9243.117774610511,23928.55082918297
2018-02-28,13240.037883081983,6305.590376855909,20887.675796210307
2018-03-31,21581.332976841746,13561.814071912697,29573.438832952383
2018-04-30,19981.352161154442,12399.467822125396,27980.45189955842
2018-05-31,17062.42932357639,10100.688674029363,24092.154201416783
2018-06-30,19784.012887342036,12262.764788561095,27165.390856124992
2018-07-31,17142.50313378559,9532.684335804985,25041.848812410317
2018-08-31,22751.645024024663,15263.211686580438,30895.939073448422
2018-09-30,32878.41842305397,25197.527319564153,39847.01397303954
2018-10-31,20561.450677466728,13544.471262201449,28094.318446942565
2018-11-30,33940.65758155993,26739.03823595826,41570.59118224907
2018-12-31,30903.66149859554,23490.382602095437,38576.94537205358
2019-01-31,17050.37847158674,9731.95975832364,24851.856864765534
2019-02-28,18223.004595948605,10972.323118722696,25966.729486369288
2019-03-31,25259.471197870032,17805.683880899593,32696.178195870303
2019-04-30,23866.425125068847,16714.27893619708,31306.34788740473
2019-05-31,18349.035708985564,11218.82260752441,25655.95983653061
2019-06-30,22398.78057271731,14556.17188327886,30009.41771030856
2019-07-31,18729.915958536236,11099.93832579722,26376.89878394211
2019-08-31,26027.024544659696,18896.576764806425,33580.81825734069
2019-09-30,36457.31839767912,28742.212064843956,43789.24438675837
2019-10-31,22898.84006486107,15523.882562100322,29672.399355522128
2019-11-30,40417.258774910755,33419.22956117474,47951.1097240951
2019-12-31,29975.21485091224,22198.05652585783,37658.66253418594
2020-01-31,17782.823586886898,10188.09715567457,25107.419831392417
2020-02-29,14687.173206086725,7172.736861346332,21998.011699130162
2020-03-31,25449.59674073881,18113.796211900637,32397.493280806633
2020-04-30,23324.151114887067,15873.903034087843,30030.884509946627
2020-05-31,25641.062141173054,18531.074944186414,33099.45770961161
2020-06-30,25808.176929541118,17675.984597214414,33798.656710002215
2020-07-31,25290.131961027357,18065.76050813295,33041.94095311212
2020-08-31,27567.500469293005,19756.722394722492,34968.30033303276
2020-09-30,36976.84945174361,29567.69651112095,44424.12096591274
2020-10-31,27216.141954427876,19679.925015284825,35111.458234854865
2020-11-30,32043.281253261568,24249.39411351505,39160.768937818706
2020-12-31,43773.38303675834,36005.806413617756,51332.88252736384
