ds,y
2014-01-31,4851.08
2014-02-28,1071.724
2014-03-31,8605.879
2014-04-30,11155.073999999999
2014-05-31,7135.624
2014-06-30,12953.037
2014-07-31,15121.207999999999
2014-08-31,11379.462
2014-09-30,27423.298000000003
2014-10-31,7211.128
2014-11-30,26862.436
2014-12-31,18006.462
2015-01-31,1808.78
2015-02-28,5368.067
2015-03-31,15882.547
2015-04-30,12558.558
2015-05-31,9113.736
2015-06-30,10647.747000000001
2015-07-31,4719.939
2015-08-31,11735.108
2015-09-30,19305.767
2015-10-31,8673.41
2015-11-30,21218.13
2015-12-31,16201.674
2016-01-31,5299.682
2016-02-29,6794.349999999999
2016-03-31,17346.931
2016-04-30,10647.447
2016-05-31,13035.202
2016-06-30,10901.810000000001
2016-07-31,12924.444000000001
2016-08-31,8959.74
2016-09-30,23263.738
2016-10-31,16281.794000000002
2016-11-30,20487.278000000002
2016-12-31,37997.566
2017-01-31,21274.289
2017-02-28,7407.772
2017-03-31,14550.286
2017-04-30,15072.191
2017-05-31,13736.964
2017-06-30,16912.039
2017-07-31,10241.468
2017-08-31,30059.852
2017-09-30,31895.843
2017-10-31,23037.192000000003
2017-11-30,31472.337
2017-12-31,30436.942
