ds,y
2014-01-31,3143.29
2014-02-28,1608.51
2014-03-31,32511.174
2014-04-30,9195.434
2014-05-31,9599.876
2014-06-30,8435.965
2014-07-31,8004.134
2014-08-31,9209.66
2014-09-30,30537.572
2014-10-31,11938.018
2014-11-30,30201.408
2014-12-31,20893.192
2015-01-31,4625.354
2015-02-28,3448.9700000000003
2015-03-31,10343.922
2015-04-30,11160.952000000001
2015-05-31,11643.0
2015-06-30,6435.366
2015-07-31,10370.966
2015-08-31,15524.632000000001
2015-09-30,19017.128
2015-10-31,10704.89
2015-11-30,23873.601
2015-12-31,35632.028
2016-01-31,5620.066
2016-02-29,12258.914
2016-03-31,21567.852000000003
2016-04-30,14890.502
2016-05-31,28832.691
2016-06-30,16372.152
2016-07-31,13269.0
2016-08-31,9672.402
2016-09-30,22883.406
2016-10-31,31533.373999999996
2016-11-30,27141.059
2016-12-31,22322.762
2017-01-31,16733.053
2017-02-28,6027.024
2017-03-31,33428.622
2017-04-30,12383.387
2017-05-31,13566.588
2017-06-30,17061.1
2017-07-31,23209.926
2017-08-31,17619.162
2017-09-30,26942.603
2017-10-31,32855.663
2017-11-30,49918.773
2017-12-31,21984.91
